 ID,Job,Type,Reference,Date (YYY-MM-DD),Decription,Value (£)
1,1201,Fee,,,,4335
2,1202,Fee,,,,0
3,1203,Fee,,,,2900
4,1204,Fee,,,,300
5,1205,Fee,,,,0
6,1206,Fee,,,,0
7,1207,Fee,,,,0
8,1208,Fee,,,,0
9,1209,Fee,,,,0
10,1210,Fee,,,,0
11,1211,Fee,,,,0
12,1212,Fee,,,,0
13,1213,Fee,,,,0
14,1214,Fee,,,,0
15,1215,Fee,,,,0
16,1216,Fee,,,,0
17,1217,Fee,,,,0
18,1218,Fee,,,,0
19,1219,Fee,,,,0
20,1220,Fee,,,,0
21,1221,Fee,,,,0
22,1222,Fee,,,,0
23,1223,Fee,,,,0
24,1224,Fee,,,,0
25,1225,Fee,,,,0
26,1226,Fee,,,,0
27,1227,Fee,,,,0
28,1228,Fee,,,,0
29,1229,Fee,,,,0
30,1230,Fee,,,,0
31,1231,Fee,,,,0
32,1232,Fee,,,,0
33,1233,Fee,,,,365
34,1234,Fee,,,,0
35,1235,Fee,,,,0
36,1236,Fee,,,,0
37,1237,Fee,,,,285
38,1238,Fee,,,,0
39,1239,Fee,,,,0
40,1240,Fee,,,,0
41,1241,Fee,,,,0
42,1242,Fee,,,,0
43,1243,Fee,,,,0
44,1244,Fee,,,,0
45,1245,Fee,,,,0
46,1246,Fee,,,,0
47,1247,Fee,,,,0
48,1248,Fee,,,,0
49,1249,Fee,,,,0
50,1250,Fee,,,,0
51,1251,Fee,,,,0
52,1252,Fee,,,,0
53,1253,Fee,,,,0
54,1254,Fee,,,,0
55,1255,Fee,,,,0
56,1256,Fee,,,,7739.75
57,1257,Fee,,,,0
58,1258,Fee,,,,0
59,1259,Fee,,,,0
60,1260,Fee,,,,0
61,1261,Fee,,,,0
62,1262,Fee,,,,0
63,1263,Fee,,,,220
64,1264,Fee,,,,0
65,1265,Fee,,,,0
66,1266,Fee,,,,0
67,1267,Fee,,,,0
68,1268,Fee,,,,0
69,1269,Fee,,,,0
70,1270,Fee,,,,0
71,1271,Fee,,,,0
72,1272,Fee,,,,15236.75
73,1273,Fee,,,,0
74,1274,Fee,,,,19929.58
75,1275,Fee,,,,0
76,1276,Fee,,,,0
77,1277,Fee,,,,0
78,1278,Fee,,,,0
79,1279,Fee,,,,0
80,1280,Fee,,,,0
81,1281,Fee,,,,0
82,1282,Fee,,,,0
83,1283,Fee,,,,0
84,1284,Fee,,,,0
85,1285,Fee,,,,2596
86,1286,Fee,,,,0
87,1287,Fee,,,,0
88,1288,Fee,,,,0
89,1289,Fee,,,,0
90,1290,Fee,,,,0
91,1291,Fee,,,,0
92,1292,Fee,,,,4861.5
93,1293,Fee,,,,734.25
94,1294,Fee,,,,0
95,1295,Fee,,,,0
96,1296,Fee,,,,0
97,1297,Fee,,,,9555.5
98,1298,Fee,,,,0
99,1299,Fee,,,,22587
100,1300,Fee,,,,16427.81
101,1301,Fee,,,,21263
102,1302,Fee,,,,1500
103,1303,Fee,,,,400
104,1304,Fee,,,,3858.75
105,1304,Variation,,,,180.5
106,1305,Fee,,,,0
107,1306,Fee,,,,0
108,1307,Fee,,,,0
109,1308,Fee,,,,3500
110,1309,Fee,,,,0
111,1310,Fee,,,,0
112,1311,Fee,,,,0
113,1312,Fee,,,,0
114,1313,Fee,,,,0
115,1314,Fee,,,,0
116,1315,Fee,,,,0
117,1316,Fee,,,,0
118,1317,Fee,,,,0
119,1318,Fee,,,,0
120,1319,Fee,,,,30490.5
121,1320,Fee,,,,2290
122,1320,Variation,,,,500
123,1321,Fee,,,,3730.75
124,1321,Variation,,,,1492
125,1322,Fee,,,,3058.5
126,1323,Fee,,,,1102.5
127,1324,Fee,,,,750
128,1325,Fee,,,,1001
129,1326,Fee,,,,2997.5
130,1326,Variation,,,,937.5
131,1327,Fee,,,,3627.5
132,1327,Variation,,,,725.5
133,1328,Fee,,,,43073.79
134,1329,Fee,,,,2043.75
135,1330,Fee,,,,740.75
136,1331,Fee,,,,2000
137,1332,Fee,,,,4522.5
138,1333,Fee,,,,400
139,1334,Fee,,,,9684
140,1334,Variation,,,,333.6
141,1335,Fee,,,,6719.45
142,1336,Fee,,,,9000
143,1337,Fee,,,,2290
144,1337,Variation,,,,5756.5
145,1338,Fee,,,,0
146,1339,Fee,,,,1700
147,1340,Fee,,,,1000
