Job,Fee Proposal,Variations
1200A,3750.0,0.0
1200B,2150.0,0.0
1200C,3500.0,0.0
1201,4335.0,0.0
1202,0.0,0.0
1203,2900.0,0.0
1204,300.0,0.0
1205,0.0,0.0
1206,0.0,0.0
1207,0.0,0.0
1208,0.0,0.0
1209,0.0,0.0
1210,0.0,0.0
1211,0.0,0.0
1212,0.0,0.0
1213,0.0,0.0
1214,0.0,0.0
1215,0.0,0.0
1216,0.0,0.0
1217,0.0,0.0
1218,0.0,0.0
1219,0.0,0.0
1220,0.0,0.0
1221,0.0,0.0
1222,0.0,0.0
1223,0.0,0.0
1224,0.0,0.0
1225,0.0,0.0
1226,0.0,0.0
1227,0.0,0.0
1228,0.0,0.0
1229,0.0,0.0
1230,0.0,0.0
1231,0.0,0.0
1232,0.0,0.0
1233,365.0,0.0
1234,0.0,0.0
1235,0.0,0.0
1236,0.0,0.0
1237,285.0,0.0
1238,0.0,0.0
1239,0.0,0.0
1240,0.0,0.0
1241,0.0,0.0
1242,0.0,0.0
1243,0.0,0.0
1244,0.0,0.0
1245,0.0,0.0
1246,0.0,0.0
1247,0.0,0.0
1248,0.0,0.0
1249,0.0,0.0
1250,0.0,0.0
1251,0.0,0.0
1252,0.0,0.0
1253,0.0,0.0
1254,0.0,0.0
1255,0.0,0.0
1256,7739.75,0.0
1257,0.0,0.0
1258,0.0,0.0
1259,0.0,0.0
1260,0.0,0.0
1261,0.0,0.0
1262,0.0,0.0
1263,220.0,0.0
1264,0.0,0.0
1265,0.0,0.0
1266,0.0,0.0
1267,0.0,0.0
1268,0.0,0.0
1269,0.0,0.0
1270,0.0,0.0
1271,0.0,0.0
1272,15236.75,0.0
1273,0.0,0.0
1274,19929.58,0.0
1275,0.0,0.0
1276,0.0,0.0
1277,0.0,0.0
1278,0.0,0.0
1279,0.0,0.0
1280,0.0,0.0
1281,0.0,0.0
1282,0.0,0.0
1283,0.0,0.0
1284,0.0,0.0
1285,2596.0,0.0
1286,0.0,0.0
1287,0.0,0.0
1288,0.0,0.0
1289,0.0,0.0
1290,0.0,0.0
1291,0.0,0.0
1292,4861.5,0.0
1293,734.25,0.0
1294,0.0,0.0
1295,0.0,0.0
1296,0.0,0.0
1297,9555.5,0.0
1298,0.0,0.0
1299,22587.0,0.0
1300,16427.81,0.0
1301,21263.0,0.0
1302,1500.0,0.0
1303,400.0,0.0
1304,3858.75,180.5
1305,0.0,0.0
1306,0.0,0.0
1307,0.0,0.0
1308,3500.0,0.0
1309,0.0,0.0
1310,0.0,0.0
1311,0.0,0.0
1312,0.0,0.0
1313,0.0,0.0
1314,0.0,0.0
1315,0.0,0.0
1316,0.0,0.0
1317,0.0,0.0
1318,0.0,0.0
1319,30490.5,0.0
1320,2290.0,500.0
1321,3730.75,1492.0
1322,3058.5,0.0
1323,1102.5,0.0
1324,750.0,0.0
1325,1001.0,0.0
1326,2997.5,937.5
1327,3627.5,725.5
1328,43073.79,0.0
1329,2043.75,0.0
1330,740.75,0.0
1331,2000.0,0.0
1332,4522.5,0.0
1333,400.0,0.0
1334,9684.0,333.6
1335,6719.45,0.0
1336,9000.0,0.0
1337,2290.0,5756.5
1338,0.0,0.0
1339,1700.0,0.0
1340,1000.0,0.0
1341,1747.25,0.0
1342,1750.0,2854.75
1343,2500.0,0.0
1344,5000.0,0.0
1345,63226.91,0.0
1346,92472.12,36565.04
1347A,15000.0,764.0
1347B,15000.0,-400.0
1347C,5000.0,0.0
1348,8000.0,0.0
1349,661.25,103.25
1350A,12000.0,727.5
1350B,12000.0,-800.0
1350C,9000.0,-250.0
1350D,12000.0,2596.5
1350E,8000.0,1757.5
1351A,2119.25,0.0
1351B,0.0,0.0
1351C,0.0,0.0
1351D,0.0,0.0
1352,2975.5,982.5
1353,6618.75,0.0
1354,1164.5,0.0
1355,617.5,0.0
1356,893.0,0.0
1357,117618.25,2593.67
1358,900.0,0.0
1359,652.0,0.0
1360A,12000.0,0.0
1360B,28727.5,-4861.5
1361,18435.88,0.0
1362,4712.75,0.0
1363,5173.5,0.0
1364,20292.4,0.0
1365,2010.75,0.0
1366,3487.5,832.5
1367,25460.75,856.25
1368,750.0,0.0
1369,4156.25,677.5
1370,0.0,0.0
1371,765.0,0.0
1372,6237.5,1810.0
1373,195.0,0.0
1374,458.0,0.0
1375,1614.5,0.0
1376,2500.0,250.0
1377,0.0,0.0
1377A,26161.5,0.0
1377B,18785.0,-146.0
1377C,30581.5,0.0
1377D,18084.5,0.0
1377E,26676.25,0.0
1378,577.5,0.0
1379,802.5,0.0
1380,3471.25,857.0
1381,0.0,0.0
1381A,5505.75,0.0
1381B,6472.25,0.0
1381C,4576.5,0.0
1381D,4295.25,0.0
1381E,5171.25,4.0
1381F,5535.25,837.5
1381G,7786.0,0.0
1381H,2950.25,0.0
1381I,4258.5,0.0
1381J,3550.5,0.0
1381K,269.0,0.0
1381L,6965.75,0.0
1381M,1865.0,0.0
1381N,7836.5,243.5
1381O,849.5,0.0
1381P,1054.5,0.0
1381Q,4532.5,1449.0
1381R,1486.25,0.0
1381S,5842.75,507.0
1381T,154.0,0.0
1381U,4726.0,0.0
1381V,1608.5,0.0
1382,648.75,0.0
1383,802.5,0.0
1384,4408.25,0.0
1385,1812.0,0.0
1386,2200.0,0.0
1387,1747.55,0.0
1388,38931.25,25098.75
1389,2250.0,0.0
1390,13000.0,0.0
1391,5094.75,1754.25
1392,892.5,0.0
1393,4575.0,0.0
1394,1689.75,0.0
1395,3253.5,0.0
1396,415.5,0.0
1397,2447.75,0.0
1398,14339.5,8073.0
1399,1025.0,0.0
1400,891.0,0.0
1401,4232.5,0.0
1402,5603.25,0.0
1403,5067.24,0.0
1404,4054.0,0.0
1405,1067.0,0.0
1406,1500.0,0.0
1407,1873.75,0.0
1408,0.0,0.0
1409,12510.0,0.0
1410,0.0,0.0
1411,8207.25,11778.309999999998
1412,12853.75,0.0
1413,21592.88,0.0
1414,4998.75,0.0
1415,3750.5,0.0
1416,1250.0,0.0
1417,0.0,0.0
1418,4054.0,0.0
1419,2000.0,819.0
1420,450.0,0.0
1421,3567.25,0.0
1422,1750.0,0.0
1423,0.0,0.0
1424,4372.75,325.0
1425,2396.0,0.0
1426,3051.25,0.0
1427,850.0,0.0
1428,1997.0,0.0
1428D,7261.75,0.0
1429,3055.5,0.0
1430,3192.0,0.0
1431,963.75,0.0
1432,2553.5,0.0
1433,8341.0,0.0
1434,2427.25,0.0
1435,765.5,0.0
1436,721.5,125.5
1437,1250.5,0.0
1438,780.0,0.0
1439,600.0,0.0
1440,1224.25,0.0
1441,412.0,0.0
1442,600.0,0.0
1443,44149.26,0.0
1444,27562.5,0.0
1445,10346.0,0.0
1446,3083.5,450.0
1447,3982.5,0.0
1448,27951.0,1350.0
1449,455.0,0.0
1450,780.0,187.0
1451,7389.0,0.0
1452,6875.0,0.0
1453,804.0,0.0
1454,1499.0,0.0
1455,1235.0,0.0
1456,11065.5,2111.5
1457,3041.0,0.0
1458,8362.5,0.0
1459,6065.5,0.0
1460,1324.0,0.0
1461,4625.0,1800.0
1462,2664.5,0.0
1463,2436.0,0.0
1464,1909.0,0.0
1465,400.0,0.0
1466,1902.5,0.0
1467,1836.25,0.0
1468,2714.5,0.0
1469,1941.0,0.0
1470,12412.25,0.0
1471,700.0,0.0
1472,7012.77,0.0
1473,8191.7,1966.6999999999998
1474,2076.5,150.0
1475,600.0,0.0
1476,272.0,0.0
1477,183391.25,22054.42
1477A,0.0,0.0
1477B,0.0,0.0
1477C,0.0,0.0
1477D,0.0,0.0
1477E,0.0,0.0
1477F,0.0,0.0
1477G,0.0,0.0
1477H,0.0,0.0
1477I,0.0,0.0
1477J,0.0,0.0
1477K,0.0,0.0
1477L,0.0,0.0
1477M,0.0,0.0
1477N,0.0,0.0
1478,1981.75,0.0
1479,1068.75,0.0
1480,12064.0,12682.76
1481,9444.0,22367.01
1482,6138.0,1649.17
1483,8775.5,32348.75
1484,8664.0,13720.1
1485,7077.25,18442.33
1486,8035.51,15293.75
1487,8334.0,13433.5
1488,1454.75,0.0
1489,968.5,0.0
1490,605.0,0.0
1491,475.0,0.0
1492,0.0,0.0
1492A,12974.25,2915.75
1492B,16792.75,3000.75
1492C,14280.5,1293.75
1492D,29019.07,1293.75
1492E,12974.25,2518.25
1492F,16792.75,1293.75
1493,982.5,0.0
1494,35468.57,0.0
1495,7535.75,3414.0
1496,13811.75,0.0
1497,15823.25,0.0
1498,19366.0,1246.0
1499,700.0,0.0
1500,1350.5,0.0
1501,11316.88,0.0
1502,500.0,0.0
1503,1886.0,0.0
1504,1750.0,0.0
1505,0.0,0.0
1505A,925.0,0.0
1505B,1750.0,0.0
1506,7297.25,0.0
1507,5175.25,0.0
1508,1345.0,0.0
1509,2640.25,0.0
1510,58611.0,23600.0
1511,7693.25,2739.0
1512,2691.5,0.0
1513,2700.25,0.0
1514,263.25,0.0
1515,661.5,0.0
1516,974.0,390.0
1517,4835.25,959.0
1518,1223.0,0.0
1519,11075.75,5154.75
1520,650.0,0.0
1521,1744.5,0.0
1522,650.0,0.0
1523,780.0,0.0
1524,3324.0,0.0
1525,2095.0,1300.0
1526,964.0,0.0
1527,945.0,0.0
1528,1060.25,0.0
1529,637.0,0.0
1530,2500.0,0.0
1531,1480.75,0.0
1532,2832.0,0.0
1533,750.0,0.0
1534,2428.0,0.0
1535,900.0,0.0
1536,2200.0,2000.0
1537,2768.25,1528.18
1538,700.0,0.0
1539,42032.0,5607.0
1540,0.0,0.0
1541,0.0,0.0
1542,0.0,0.0
1543,0.0,0.0
1544,0.0,0.0
1545,0.0,0.0
1546,0.0,0.0
1547,3463.5,0.0
1548,750.0,300.0
1549,670.5,0.0
1550,2813.25,0.0
1551,1875.0,0.0
1552,633.0,0.0
1553,528260.75,61490.31
1554,3432.25,1785.5
1555,1473.0,0.0
1556,1516.0,-1516.0
1557,1516.0,-1516.0
1558,4336.0,0.0
1559,3382.75,203.0
1560,3348.13,1443.0
1561,1516.0,-1516.0
1562,17611.0,0.0
1563,17064.0,0.0
1564,17324.0,0.0
1565,16974.0,6226.5
1566,4304.75,8435.0
1567,3735.75,0.0
1568,16016.5,1694.0
1569,5321.75,0.0
1570,500.0,0.0
1571,242.5,-242.5
1572,4656.63,-4656.63
1573,1240.0,2877.25
1574,1350.0,350.0
1575,375.0,0.0
1576,2833.0,730.5
1577,0.0,0.0
1578,2725.5,750.5
