Invoice No,Client,Job Name,Job Number,Invoice Amount (excl VAT),Date Inv. Issued
1407-06,Carillion,Cottages and Minsters Crane Pad Design,1322,1640.0,2017-07-24
1408-06,Carillion,Cottages and Minsters Crane Pad Design,1322,1418.5,2014-08-19
1409-01,Bam Nuttall,Carmuirs Twin tunnels,1319,1107.5,2014-09-02
1409-02,Amco,Slochd rockslope,1325,1001.0,2014-09-02
1409-03,Amco,Nairn Road underbridge,1329,2043.75,2014-09-02
1409-04,Covanburn Contracts,Airbles Station,1321,3357.38,2014-09-09
1409-05,North Lanarkshire Council,Colzium Glen Footpath,1237,285.0,2014-09-10
1409-06,Geo-Rope,Milngavie Viaduct,1331,2000.0,2014-09-16
1409-07,Hyder,Three Bridges Depot Retaining Walls,1326,3495.0,2014-09-23
1409-08,Amco,not issued,,,
1409-09,Bam Nuttall,Shotts Electrification,1339,595.0,2014-09-23
1409-10,Barr Construction,Glen Catrine Bonded Warehouse,1332,4070.25,2014-09-23
1409-11,Covanburn Contracts,Retaining wall stabilisation,1297,9555.5,2014-09-23
1409-12,Bam Nuttall,,,,
1409-13,Bam Nuttall,,,,
1409-14,QTS Group,Airbles Embankment stabilisation,1256,7739.75,2014-09-23
1409-15,Barr Construction,Asda Barrhead,1285,2596.0,2014-09-23
1409-16,Bam Nuttall,,,,
1409-17,Amco,Gleneagles Ballast Retention,1337,2790.0,2014-09-30
1409-18,Amco,Ordie Viaduct,1320,2790.0,2014-09-30
1409-19,Amco,Carsebreck Superstructure Renewal,1334,9270.35,2014-09-30
1409-20,Amco,Boreland Bridge Infill,1335,5204.7,2014-09-30
1409-21,A McKie,Footbridge Refurbishment,1300,16427.81,2014-09-30
1410-01,Covanburn Contracts,Williamwood Station retaining Wall,1263,220.0,2014-10-14
1410-02,Covanburn Contracts,Airbles Station,1321,1865.37,2014-10-14
1410-03,Amco,Carsebreck Superstructure Renewal,1334,747.25,2014-10-16
1410-04,Amco,UB 133/034 Boreland Bridge Infill,1335,1514.75,2014-10-16
1410-05,Amco,RSC0005 Dairy Bridge,1233,,2014-10-20
1410-06,Railway Engineering Associates,REA Old Glasgow Road,1299,385.5,2014-10-20
1410-07,Railway Engineering Associates,REA Banvie Bridge,1299,3910.25,2014-10-20
1410-08,Railway Engineering Associates,REA Motherwell Road,1299,918.75,2014-10-20
1410-09,Amco,Straiton Central,1304,2219.5,2014-10-20
1410-10,Bam Ritchie,Haymarket North Tunnel,1341,727.5,2014-10-20
1410-11,Span Access,Warden Bridge concept drawing,1295E,200.0,2014-10-20
1410-12,Span Access,Perenco 27f concept drawings,1295F,250.0,2014-10-28
1410-13,Carillion,Carmont Bridge reinstatement,1342,1750.0,2014-10-24
1410-14,Bam Ritchie,Haymarket North Tunnel,1341,375.0,2014-10-28
1410-15,Morgan Sindall,EGIP Callender Glen,1346,877.75,2014-10-28
1411-01,Carillion,Perenco 27f revised concept drawings,1295F,322.0,2014-11-04
1411-02,Span Access,Levern Water Viaduct,1343,2500.0,2014-11-04
1411-03,Geo-Rope,Carillion Rail,1328,29714.79,2014-11-06
1411-04,Carillion,Dunragit Creamery Infilling,1336,3500.0,2014-11-18
1411-05,Amco,Chappell House ,1233,365.0,2014-11-18
1411-06,Bam Nuttall,Carmuirs twin Tunnels,1319,5887.75,2014-11-18
1411-07,Amco,Crow Road Crane Lift,1349,764.5,2014-11-18
1411-08,Luddon,Queen Street Station Hoarding,1293,-734.25,2014-11-18
1411-09,Bam Nuttall,Carmuirs twin Tunnels,1319,-3598.75,2014-12-01
1411-10,Apollo Cradles,Riverlight Battersea St James,1355,617.5,2014-11-28
1411-11,Amco,Box Aqueduct Scaffold Check,1354,1164.5,2014-11-28
1412-01,Amco,Cumberland Street,1358,900.0,2014-12-03
1412-02,Story Contracting,High Street Station,1356,893.0,2014-12-18
1412-03,Amco,Barassie Temporary Works,1353,4280.75,2014-12-18
1412-04,Amco,Dunragit Creamery Infilling,1336,3562.5,2014-12-18
1412-05,Bam Nuttall,Carmuirs twin Tunnels,1319,3935.25,2014-12-18
1412-06,Morgan Sindall,EGIP Callender Glen,1346,750.0,2014-12-18
1501-01,CPR - Complete Paving Requirements,Stirling Station Resurfacing Works,1365,2010.75,2015-01-08
1501-02,Amco,5.5,1353,1806.0,2015-02-27
1501-03,Jobs and Business ,Glasgow Youth Employment Scotland,103,975.0,2015-01-09
1501-04,Story Contracting,White Bridge Perth,1366,3487.5,2015-01-26
1501-05,Amco,Inveruglas Bridged Scaffold Check,1363,2232.75,2015-01-26
1501-06,Span Access,Lor Jetty ,1352,3825.5,2015-01-29
1501-07,Span Access,Rosyth Runway Beam,1359,652.0,2015-01-29
1501-08,Amco,Ardmay Lifting Points Check,1368,750.0,2015-01-29
1501-09,Story Contracting,White Bridge Perth,1366,832.5,2015-01-29
1501-10,HCS Group,Slope Stability Inspection Havencourt Care Home,1371,765.0,2015-03-11
1501-11,Wallace McDowall,MMPV Structure Stress Check,1362,2908.75,2015-01-29
1501-12,Amco,Sandyford ,1292,4861.5,
1502-01,Covanburn Contracts,Croy Station,1374,458.0,2015-02-04
1502-02,Geo-Rope,Glen Righ Slope Remediation,1272,15236.75,2015-02-09
1502-03,Amco,UB 310/070 Inveruglas Temporary Crash Deck Check,1363,2138.25,2015-02-09
1502-04,Amco,UB 140/031 Baillieston Superstructure Replacement,1361,8580.0,2015-02-09
1502-05,Amco,"CP5 WHL Culverts, Year 2",1345,38250.0,2015-02-09
1502-06,Legge Steel,not used,,,
1502-07,Carillion,NR Route Parapet Handrails,1328,12609.0,2015-04-16
1502-08,Bam Nuttall,Larbert Crane Pad,1373,195.0,2015-02-16
1502-09,Morgan Sindall,EGIP PAA Bridges,1346,15590.0,2015-02-20
1502-10,Amco,Old Mill Road,1364,7179.25,2015-05-02
1502-11,Amco,A75 Dunragit,1369,4833.75,2015-02-27
1502-12,Legge Steel,Versalis Effluent Works,1376,2750.0,2015-02-26
1503-01,Span Access,Lor Jetty ,1352,132.5,2015-03-09
1503-02,,doesn't exist,,,
1503-03,Amco,UB 140/031 Baillieston Superstructure Replacement,1361,4636.88,2015-03-09
1503-04,Amco,Keppochhill Road,1375,1614.5,2015-03-09
1503-05,Amco,Bishopbriggs & Yoker Station,1367,506.25,2015-03-09
1503-06,Amco,Straiton Central,1304,1729.75,2015-03-23
1503-07,Amco,FB 031/021 Ladywell Repairs and painting,1347A,13600.0,2015-03-23
1503-08,Amco,FB 031/022A Logans Road,1347B,13600.0,2015-03-23
1503-09,Amco,not used,,,
1503-10,Amco,not used,,,
