"[Job] Job No.","[Cost] Date","[Cost] Description","[Cost] Cost"
"2360","31-May-2023","Groundsure Invoice No:505760","195.00"
"2419","13-Mar-2023","Arnold CLark car hire","49.46"
"2437","27-Jan-2021","DESIGN SERVICES - CAD Reinforcement Services Ltd","1,400.00"
"2444","31-Jan-2022","CAT III Check Richter Associates (Northern) Limited PO 2444 2035","6,072.00"
"2444","31-Jan-2022","Vehicle rental NM","98.14"
"2444","21-Sep-2022","CAT III Check Additional Costs","626.75"
"2477","03-May-2021","P-way condition survey PO 2477_1701","1,470.00"
"2477","22-Aug-2022","Eskmeals Track design PBH  PO 2477_2232","7,320.00"
"2477","17-Nov-2022","CAD Reinforcement Services Ltd","875.00"
"2513","17-Apr-2023","Arnold Clark Inv HI3107583","235.93"
"2516","15-Nov-2020","Gedo Hire","1,200.00"
"2516","12-Dec-2020","Gedo Hire 12/12 - 14/12","450.00"
"2516","06-Oct-2021","Various Hire Survey Hire Costs","2,040.00"
"2516","23-Mar-2023","GAP GPS Network Rover Trimble R Hire 01/12/22 - 15/12/22","528.00"
"2516","23-Mar-2023","GAP Invoice 413396438","672.00"
"2522","18-Dec-2020","Groundsure Environmental Report","269.00"
"2522","19-Jan-2021","MS Project (Software Giants)","49.99"
"2522","19-Feb-2021","Matthew Byerly Contract Services","250.00"
"2522","01-Mar-2021","2 x maps (one DWG Master map and one 1:25k OS)","125.17"
"2522","02-Mar-2021","Groundsure PO 2522 1669","134.50"
"2522","29-Mar-2021","Groundsure 2522-1669 GS Reference GS-7535956","134.50"
"2522","11-Jan-2022","Landscaping Design for Alyth PO 2522 1995","1,235.00"
"2536","10-Jan-2023","Groundsure Consultants Coal Mining report","124.00"
"2549","22-Feb-2021","Mileage (Site Visits x 1 on 22 Feb 2021) 80 miles @ £0.50","40.00"
"2551","22-Jan-2021","The Broadway Hotel SM & SWM 3 nights ","304.76"
"2551","19-Feb-2021","Stratton House Hotel","270.00"
"2551","03-May-2021","OLE & PWAY Design  PO 2551_1696","12,346.00"
"2551","03-May-2021","Signalling Design  PO 2551_1695","34,859.00"
"2551","15-Nov-2021","KIlborn CRT ","4,180.00"
"2551","15-Nov-2021","PBH CRT","1,816.00"
"2551","11-Feb-2022","PO2551_2051 for variation request 1919-FN-001 and 1919-FN-002, GRIP 5 Signaling and Telecoms","53,834.50"
"2551","11-Feb-2022","PO2551_2052 for variation request T1499-OLE-002 - Issue 1 OLE Design ","13,573.00"
"2551","10-Jun-2022","Kilborn ODA","3,187.25"
"2551","22-Aug-2022","Design Work - RC Detailing  CRS PO 2551_2182","105.00"
"2551","06-Oct-2022","CRS Purchase Order No. - 2551_2182","52.50"
"2551","08-Mar-2023","Kilborn Consulting Limited INV-610 against PO 2551_2510","5,148.00"
"2551","14-Nov-2023","Kilborn Consulting Invoice INV-682   PO 2551-2051","3,743.30"
"2551","14-Nov-2023","Kilborn Consulting Invoice INV-683   PO 2551-2510","6,318.32"
"2596","10-Mar-2021","Utilities Search PO 2596/1691","227.45"
"2596","12-Jan-2023","Groundsure Consultants Coal Mining report","124.00"
"2638","14-Dec-2020","Envirocheck reports","900.00"
"2638","18-Dec-2020","Groundsure Environmental Report","282.13"
"2638","15-Jan-2021","Phase 1 Record Information Purchase","900.00"
"2638","15-Mar-2021","Matthew Byerly Contract Services PO 2638_1710","500.00"
"2638","16-Mar-2021","Groundsure Environmental Report PO 2638_1713","282.13"
"2638","03-May-2021","Ground penetrating radar equipment  PO 2638_1702  SCCS","450.00"
"2638","28-Jun-2021","ERS GI - Robeslee Drive","5,290.65"
"2638","03-Nov-2021","WW - petrol for hire car for Nitshill GI","12.46"
"2638","16-Nov-2021","ERS - GI at Nitshill Road","7,271.05"
"2638","17-Nov-2021","ERS - JK signage costs at Robslee","750.00"
"2638","18-Nov-2021","WW - car mileage for site visit for JK at Roselee","28.80"
"2638","19-Nov-2021","WW - Car hire for Nitshill - Estimate","109.06"
"2638","29-Nov-2021","WW - car mileage to Roselee for JK meeting","28.80"
"2638","24-Jan-2024","ERS Invoice No: 7478 Order No: 2638-1952","3,200.00"
"2650","15-Jan-2021","Measuring Wheel NZ Expenses ","31.66"
"2650","18-Jan-2021","Car Hire JK ","53.26"
"2650","20-Jan-2021","Hire Car RA","75.34"
"2650","09-Feb-2021","Hotel MB","65.71"
"2650","19-Feb-2021","Car Hire MB","74.61"
"2650","19-Feb-2021","Car Hire NZ","126.98"
"2650","01-Mar-2021","Fuel. Ross Anderson Expenses ","108.50"
"2701","16-Jan-2023","Hotel","149.98"
"2701","18-Jan-2023","SVM EP Design PO 2701_2380","9,537.50"
"2701","28-Sep-2023","SVM Invoice 2732","9,567.60"
"2721","31-Jan-2022","Access walkway Design Clow Group  PO 2721 2039 ","9,750.00"
"2721","11-Feb-2022","OS CAD tiles Digital map tiles","37.81"
"2721","07-Sep-2022","SVM Invoice No: 2479 Purchase Order No: 2721/1763","2,548.50"
"2724","01-Jul-2022","Road Safety Audit","2,210.50"
"2724","30-Sep-2022","RC Detailing ","2,100.00"
"2744","17-Mar-2023","Flights JS / AS","445.89"
"2747","18-Oct-2021","Cornerstone Buried Services Search","280.87"
"2747","18-Oct-2021","Flights LP/DM/MB","369.90"
"2747","18-Oct-2021","Hire Vehicle NZ","72.59"
"2747","18-Oct-2021","Premier Inn - Accomodation LP/DM/MB/DF","1,840.00"
"2747","18-Oct-2021","Various Staff Expenses ","195.74"
"2747","18-Oct-2021","Vehice hire LP/DM","45.36"
"2814","21-Jun-2022","SVM Interim invoice for 60% of EP design works as per fee proposal 801Z4 Rev B dated 19/11/2020","7,310.76"
"2814","02-May-2023","SVM Inv 2642","2,436.92"
"2814","05-Jul-2023","SVM Invoice 2694","2,436.92"
"2830","21-Jun-2022","Kaya Consulting Ltd Flood Risk Assessment","3,995.00"
"2830","29-Jul-2022","CAD Reinforcement Services RC Detailing PO 2830_2186","840.00"
"2830","22-Aug-2022","RC DETAILING CRS PO 2830_2186","962.50"
"2886","25-Oct-2021","Groundsure Report - PO1928","179.00"
"2886","11-Nov-2021","Car Hire WW ","105.11"
"2886","15-Nov-2021","Car mileage - WW","38.70"
"2886","19-Jan-2022","ERS - Ground Investigation PO 2886 2013","10,462.00"
"2886","28-Jan-2022","Ecology Survey at SPL Edin Airport PO 2886 2034","950.00"
"2886","04-Feb-2022","Petrol for hire car","14.19"
"2886","15-Feb-2022","Car mileage WW","38.70"
"2886","09-Mar-2022","Lunch for siteworks WW","6.40"
"2886","24-Mar-2022","RRAP Survey by Vital","1,155.00"
"2889","23-Jun-2022","Bowling Remediation Project - Third Party Check Allen Gordon","2,995.00"
"2921","08-Mar-2022","Accommodation DMcL/PM","200.80"
"2921","08-Mar-2022","GPR/RD Hire","230.00"
"2921","08-Mar-2022","Socotec Metal & paint sample testing","954.00"
"2921","30-Mar-2022","Socotec 0000944919","954.00"
"2925","24-Jan-2024","Kaya Consulting invoice 23384","3,490.00"
"2929","11-Feb-2022","Concrete investigation  Nicholls Coulton PO 2929 2019","3,200.00"
"2929","08-Mar-2022","Accommodation DMcG","45.13"
"2929","08-Mar-2022","vehicle hire CS","101.78"
"2957","14-Jan-2022","Survey Equipment Hire (GAP)","2,965.00"
"2957","18-Jan-2022","Accommodation 5 nights EM/MB Premier Inn","432.00"
"2957","26-Jan-2022","GPS Hire","225.00"
"2957","28-Jan-2022","Accommodation 1 night PM","60.50"
"2957","11-Feb-2022","Revit Modeling Services","3,950.00"
"2957","15-Feb-2022","Fuel NZ Expenses","194.08"
"2957","03-Oct-2022","Purchase Order No: 2957_2256 Mike Weir","210.00"
"2957","31-May-2023","Socotec Invoice No. 0001031887","375.00"
"2957","30-Jun-2023","Thornley & Lumb Invoices paid to 30/06/23","84,000.00"
"2957","28-Sep-2023","Thornley & Lumb Invoice 25758","1,000.00"
"2958","17-Feb-2022","GAP Trimble X7 Hire - 3 Weeks","1,950.00"
"2958","08-Mar-2022","Accommodation DMcG/PM/GR","1,019.27"
"2958","08-Mar-2022","Accommodation GR","336.85"
"2958","08-Mar-2022","Accommodation PM/DMcG","848.68"
"2958","08-Mar-2022","Accomodation LP/MB/EM","751.62"
"2958","08-Mar-2022","GAP H&S hire","85.00"
"2958","08-Mar-2022","GAP Survey Equipment Hire","2,889.00"
"2958","30-Mar-2022","Hire Station Schmidt Hammer","110.00"
"2958","23-May-2022","Geocentroid Revit Modelling outsourcing - DMU Shed","3,600.00"
"2958","23-May-2022","Geocentroid Revit Modelling outsourcing - TSS Shed","3,420.00"
"2958","23-May-2022","Sunbelt Covermeter","50.00"
"2958","23-May-2022","Sunbelt Testing Kit Hire","120.00"
"2958","19-Mar-2023","Enterprise Car Hire NZ PO NUMBER : 2958 2473","381.11"
"2958","28-Mar-2023","Hotel","306.47"
"2958","26-May-2023","Thornley and Lumb Invoices paid to 30/06/2023","51,000.00"
"2958","28-Aug-2023","Thornley & Lumb Invoice Number 25698","4,000.00"
"2958","11-Sep-2023","Geocentroid Invoice GC-INV-23240149","9,828.00"
"2958","28-Sep-2023","Thornley & Lumb Invoice 25757","10,000.00"
"2958","17-Nov-2023","PBH Rail Inv E6766   PO 2958-2601","33,318.00"
"2958","29-Nov-2023","Thornely & Lumb Invoice 25870","6,125.00"
"2958","24-Jan-2024","Thornley & Lumb Inv 25968","5,375.00"
"2964","22-Aug-2022","RC DETAILING CRS PO 2964_2187","1,067.50"
"2964","22-Aug-2022","SVM Selby AFA Design Fee 2964_2139","8,299.00"
"2964","01-Mar-2023","SVM Invoice 2569 EP Design PO No 2964_2139","27,674.56"
"2964","24-Jan-2024","SVM invoice 2820","1,784.00"
"2973","11-Feb-2022","Environmental Health Officer Record Search","116.70"
"2973","11-Feb-2022","Groundsure Report PO 2973 2044","303.82"
"2973","11-Feb-2022","Utility Search Service - Cornerstone PO 2973 2045","414.38"
"2973","11-Mar-2022","Car mileage - WW","5.85"
"2973","04-Oct-2022","CAD Reinforcement Services","455.00"
"2973","04-Nov-2022","CAD Reinforcement Services","367.50"
"2973","28-Apr-2023","SVM EP Design PO 2973_2377","12,076.10"
"2973","13-Jul-2023","HEM - Notepads","10.99"
"2973","18-Jul-2023","HEM - Site visit - Business insurance for car ","22.24"
"2973","19-Jul-2023","HEM - Site visit - Mileage ","55.71"
"2973","28-Sep-2023","SVM Invoice 2733","3,851.90"
"2983","31-Mar-2022","HTA - Intrusive investigation","3,315.00"
